Full Name,Email,External Id,Phone,Country,Status,City,Signup At,Consent Marketing,Brand Code,Deleted At,Suppressed Until,Notes
Johan Wafula,michael.fassi.kar5760@vg-eval.test,CT-005760,254-731-694774,ZA,active,Gqeberha,2026-02-06T15:39:07Z,no,KAROO,,,
Amina Achieng,samuel.njoroge.kar4146@vg-eval.test,CT-004146,025701347763,ZA,bounced,Bloemfontein,2026-01-06T07:21:33Z,1,KAROO,,,
Lerato Njoroge,nancy.odhiambo.kar9136@vg-eval.test,CT-009136,254-720-686475,ZA,active,Polokwane,2026-02-14T06:15:36Z,true,KAROO,,,
Paul Wanjiru,lerato.pretorius.kar1462@vg-eval.test,CT-001462,025703433451,ZA,active,Gqeberha,2026-03-16T11:26:08Z,f,KAROO,,,
Daniel Pretorius,lerato.naidoo.kar12254@vg-eval.test,CT-012254,025737397227,ZA,active,Gqeberha,2026-01-13T12:38:12Z,1,KAROO,,,
Faith Tazi,zanele.dlamini.kar12288@vg-eval.test,CT-012288,254-728-506343,ZA,active,Durban,2026-03-27T10:02:22Z,true,KAROO,,,
Grace Otieno,peter.okoth.kar774@vg-eval.test,CT-000774,025717200269,ZA,active,Pretoria,2026-01-30T15:21:23Z,TRUE,KAROO,,,
Paul Mokoena,paul.otieno.kar11753@vg-eval.test,CT-011753,0719624346,ZA,active,Gqeberha,2026-04-13T01:00:18Z,1,KAROO,,,
Nomsa Kimani,caroline.odhiambo.kar12347@vg-eval.test,CT-012347,+254 729 123 430,ZA,active,Johannesburg,2026-01-04T19:53:34Z,Y,KAROO,,,
Joan Nkosi,karim.alaoui.kar2805@vg-eval.test,CT-002805,0733623287,ZA,active,East London,2026-02-09T23:18:06Z,no,KAROO,,,
Daniel Alaoui,paul.fassi.kar6275@vg-eval.test,CT-006275,+254 716 751 934,ZA,active,Polokwane,2026-03-08T20:27:28Z,false,KAROO,,,
Simon Tazi,caroline.barasa.kil9694@vg-eval.test,CT-008899,+254 713 058 220,ZA,active,Bloemfontein,2026-03-11T16:59:08Z,FALSE,KAROO,,,
Victor Pretorius,peter.mutua.kar3762@vg-eval.test,CT-003762,025728271482,ZA,active,Cape Town,2026-01-19T04:20:50Z,yes,KAROO,,,
Ruth Nkosi,lucy.mutua.kar4452@vg-eval.test,CT-004452,254-702-792821,ZA,active,Bloemfontein,2026-01-24T00:12:00Z,TRUE,KAROO,,,
Grace Barasa,nomsa.benali.kar1902@vg-eval.test,CT-001902,025706583026,ZA,active,Cape Town,2026-02-20T03:46:41Z,f,KAROO,,,
Ruth Bennani,james.cheruiyot.kar6878@vg-eval.test,CT-006878,025724610822,ZA,active,East London,2026-01-14T07:12:11Z,false,KAROO,,,
Zanele Wanjiru,nomsa.wafula.kar11528@vg-eval.test,CT-011528,254-716-745983,ZA,active,Polokwane,2026-03-04T05:02:41Z,false,KAROO,,,
Joan Elidrissi,mary.kamau.kar8218@vg-eval.test,CT-008218,025737066463,ZA,active,Pretoria,2026-01-24T01:09:46Z,TRUE,KAROO,,,
Alice Achieng,zanele.mwangi.kar7241@vg-eval.test,CT-007241,0708306750,ZA,active,Gqeberha,2026-01-24T23:25:11Z,Y,KAROO,,,
Isaac Vermeulen,rose.kimani.kar1920@vg-eval.test,CT-001920,254-736-142479,ZA,active,Johannesburg,2026-02-03T09:01:17Z,Y,KAROO,,,
Caroline Berrada,layla.wafula.kar4167@vg-eval.test,CT-004167,+254 728 699 488,ZA,active,East London,2026-04-02T21:23:02Z,yes,KAROO,,,
Sipho Dlamini,joan.kimani.kar9967@vg-eval.test,CT-009967,+254 734 483 258,ZA,active,Cape Town,2026-03-04T03:44:20Z,false,KAROO,,,
Faith Wafula,omar.wafula.kar3657@vg-eval.test,CT-003657,0725302546,ZA,active,East London,2026-03-27T12:47:25Z,false,KAROO,,,
Mary Kimani,daniel.barasa.kar2250@vg-eval.test,CT-002250,025716192378,ZA,active,Cape Town,2026-02-08T12:35:56Z,false,KAROO,,,
Nomsa Pretorius,nomsa.barasa.kil20021@vg-eval.test,CT-005470,025730130476,ZA,active,Pretoria,2026-02-04T04:21:33Z,true,KAROO,,,
Sipho Vermeulen,omar.mwangi.kar9426@vg-eval.test,CT-009426,025715910758,ZA,active,Durban,2026-04-06T23:09:54Z,yes,KAROO,,,
Lucy Nkosi,karim.otieno.kar9138@vg-eval.test,CT-009138,025737841131,ZA,active,Cape Town,2026-04-13T11:36:04Z,Y,KAROO,,,
Grace Barasa,lucy.njenga.kar11918@vg-eval.test,CT-011918,025733003505,ZA,unsubscribed,Durban,2026-01-18T03:26:24Z,no,KAROO,,,
Layla Fassi,dennis.njenga.kar9449@vg-eval.test,CT-009449,0722010631,ZA,active,Durban,2026-04-07T18:08:27Z,true,KAROO,,,
Joan Wanjiru,rachid.zahra.kar6234@vg-eval.test,CT-006234,025718728740,ZA,active,Bloemfontein,2026-03-22T18:06:51Z,yes,KAROO,,,
Rose Pretorius,lucy.mwangi.kar4754@vg-eval.test,CT-004754,025734653703,ZA,active,East London,2026-03-09T17:14:07Z,false,KAROO,,,
George Wafula,thandi.dlamini.kar5242@vg-eval.test,CT-005242,025719331548,ZA,active,Polokwane,2026-01-22T08:24:56Z,1,KAROO,,,
Rachid Bennani,sarah.tazi.kar956@vg-eval.test,CT-000956,254-702-644564,ZA,active,Durban,2026-04-02T10:42:36Z,0,KAROO,,,
Nomsa Vermeulen,yassine.barasa.kil31020@vg-eval.test,CT-003658,025705901932,ZA,active,East London,2026-03-24T09:18:56Z,false,KAROO,,,
Ruth Vermeulen,dennis.mokoena.kar9227@vg-eval.test,CT-009227,+254 739 239 326,ZA,active,Durban,2026-03-05T16:57:00Z,false,KAROO,,,
Michael Benali,george.odhiambo.kar2625@vg-eval.test,CT-002625,0719744708,ZA,active,Cape Town,2026-01-02T08:15:18Z,f,KAROO,,,
Lucy Fassi,michael.vermeulen.kar9085@vg-eval.test,CT-009085,0713247298,ZA,active,Johannesburg,2026-01-29T18:17:13Z,false,KAROO,,,
Karim Barasa,peter.achieng.kar507@vg-eval.test,CT-000507,+254 723 701 220,ZA,active,Johannesburg,2026-01-26T05:33:36Z,yes,KAROO,,,
Caroline Wanjiru,daniel.vermeulen.kar3011@vg-eval.test,CT-003011,+254 707 839 457,ZA,active,Bloemfontein,2026-03-25T04:25:55Z,yes,KAROO,,,
Yassine Kamau,peter.kamau.kar2515@vg-eval.test,CT-002515,+254 702 680 652,ZA,active,Cape Town,2026-01-22T20:09:30Z,yes,KAROO,,,
Rachid Dlamini,lerato.vermeulen.kar1447@vg-eval.test,CT-001447,+254 706 539 132,ZA,active,Polokwane,2026-04-14T19:01:50Z,yes,KAROO,,,
Thandi Njoroge,nomsa.mutua.kar3666@vg-eval.test,CT-003666,025719301077,ZA,active,Polokwane,2026-03-02T02:26:57Z,false,KAROO,,,
George Okoth,kevin.odhiambo.kar8841@vg-eval.test,CT-008841,0730422751,ZA,unsubscribed,Pretoria,2026-03-08T09:07:13Z,no,KAROO,,,
Brian Cheruiyot,samuel.mokoena.kar79@vg-eval.test,CT-000079,+254 738 276 535,ZA,bounced,Polokwane,2026-01-28T16:57:38Z,true,KAROO,,,
Yassine Kimani,daniel.dlamini.kar3499@vg-eval.test,CT-003499,+254 705 621 937,ZA,active,Johannesburg,2026-01-24T13:22:17Z,f,KAROO,,,
Michael Haddad,simon.vermeulen.kar9681@vg-eval.test,CT-009681,0716281996,ZA,active,Durban,2026-01-08T14:25:39Z,no,KAROO,,,
Caroline Nkosi,ann.vermeulen.kar5173@vg-eval.test,CT-005173,0713969517,ZA,active,Johannesburg,2026-01-01T11:34:30Z,f,KAROO,,,
Mercy Vermeulen,faith.haddad.kil56594@vg-eval.test,CT-007646,025706172025,ZA,unsubscribed,Durban,2026-02-26T05:29:49Z,true,KAROO,,,
Mary Otieno,michael.mwangi.kar9964@vg-eval.test,CT-009964,254-709-415208,ZA,active,Gqeberha,2026-02-04T14:02:30Z,FALSE,KAROO,,,
Sarah Mutua,zanele.benali.kar7669@vg-eval.test,CT-007669,0723989494,ZA,active,Bloemfontein,2026-04-12T07:35:04Z,f,KAROO,,,
Faith Nkosi,omar.wanjiru.kar4675@vg-eval.test,CT-004675,+254 701 816 647,ZA,active,Pretoria,2026-03-02T17:39:12Z,0,KAROO,,,
Layla Wafula,nomsa.njoroge.kar11341@vg-eval.test,CT-011341,0739849475,ZA,active,Polokwane,2026-02-26T12:36:00Z,0,KAROO,,,
Esther Mutua,isaac.benali.kar10330@vg-eval.test,CT-010330,025708306415,ZA,active,Gqeberha,2026-02-12T04:45:04Z,FALSE,KAROO,,,
George Zahra,kevin.achieng.kar11937@vg-eval.test,CT-011937,0703964117,ZA,unsubscribed,Johannesburg,2026-02-27T12:10:27Z,true,KAROO,,,
Kevin Bennani,esther.bennani.kil76894@vg-eval.test,CT-009364,254-722-727488,ZA,active,Cape Town,2026-03-31T23:09:25Z,FALSE,KAROO,,,
Joan Mutua,johan.haddad.kar7441@vg-eval.test,CT-007441,0706571832,ZA,active,Cape Town,2026-02-12T07:00:56Z,f,KAROO,,,
John Mokoena,mercy.naidoo.kar2214@vg-eval.test,CT-002214,025732300739,ZA,active,Johannesburg,2026-04-04T11:51:51Z,f,KAROO,,,
Paul Berrada,sipho.kamau.kar5543@vg-eval.test,CT-005543,+254 711 086 770,ZA,active,Bloemfontein,2026-02-11T13:05:26Z,yes,KAROO,,,
Michael Alaoui,james.pretorius.kar5635@vg-eval.test,CT-005635,+254 707 314 945,ZA,active,Pretoria,2026-02-03T17:43:36Z,TRUE,KAROO,,,
Lerato Barasa,sipho.alaoui.kar11743@vg-eval.test,CT-011743,+254 715 493 592,ZA,active,Cape Town,2026-03-17T14:10:31Z,false,KAROO,,,
Isaac Kiptoo,alice.kimani.kar9228@vg-eval.test,CT-009228,254-722-755382,ZA,active,Johannesburg,2026-01-09T07:51:58Z,no,KAROO,,,
John Fassi,grace.kamau.kil1616@vg-eval.test,CT-006428,254-718-888284,ZA,active,Pretoria,2026-01-14T18:57:21Z,TRUE,KAROO,,,
Karim Tazi,joan.dlamini.kar8295@vg-eval.test,CT-008295,+254 736 496 703,ZA,active,East London,2026-01-23T22:45:59Z,FALSE,KAROO,,,
Pieter Mokoena,dennis.elidrissi.kar6206@vg-eval.test,CT-006206,025722739976,ZA,active,Polokwane,2026-04-05T11:15:42Z,TRUE,KAROO,,,
Kevin Barasa,yassine.barasa.kil25111@vg-eval.test,CT-010315,+254 733 882 164,ZA,active,Bloemfontein,2026-01-22T09:30:00Z,yes,KAROO,,,
Victor Fassi,esther.tazi.kar8558@vg-eval.test,CT-008558,025702559501,ZA,active,Bloemfontein,2026-02-24T05:03:55Z,1,KAROO,,,
Paul Cheruiyot,james.zahra.kar3193@vg-eval.test,CT-003193,0725157542,ZA,active,East London,2026-02-06T06:31:26Z,1,KAROO,,,
Daniel Benali,kevin.haddad.kar2773@vg-eval.test,CT-002773,0731007266,ZA,active,Polokwane,2026-03-22T10:00:26Z,TRUE,KAROO,,,
Lerato Naidoo,nancy.wanjiru.kil30577@vg-eval.test,CT-001104,254-727-419344,ZA,active,Gqeberha,2026-03-27T23:07:07Z,Y,KAROO,,,
Simon Kiptoo,samuel.vermeulen.kar4794@vg-eval.test,CT-004794,025718056721,ZA,active,Gqeberha,2026-01-24T03:26:19Z,FALSE,KAROO,,,
Diana Odhiambo,sarah.vermeulen.kar4469@vg-eval.test,CT-004469,0729846787,ZA,active,Cape Town,2026-02-15T09:24:27Z,FALSE,KAROO,,,
Ann Tazi,john.fassi.kar12200@vg-eval.test,CT-012200,254-730-153225,ZA,unsubscribed,Pretoria,2026-04-10T07:33:38Z,Y,KAROO,,,
Michael Achieng,paul.elidrissi.kar12400@vg-eval.test,CT-012400,254-726-030629,ZA,active,Pretoria,2026-01-13T13:13:08Z,1,KAROO,,,
Sarah Wanjiru,rose.zahra.kar6068@vg-eval.test,CT-006068,254-728-506387,ZA,active,Gqeberha,2026-02-06T09:48:26Z,Y,KAROO,,,
John Odhiambo,AMINA.PRETORIUS.KAR12088@VG-EVAL.TEST,CT-012088,254-736-763931,ZA,bounced,Bloemfontein,2026-03-22T22:28:39Z,0,KAROO,,,
Mercy Kamau,nomsa.mutua.kar391@vg-eval.test,CT-000391,+254 727 049 078,ZA,active,Polokwane,2026-04-02T00:32:22Z,FALSE,KAROO,,,
Zanele Achieng,victor.alaoui.kar5970@vg-eval.test,CT-005970,025738623815,ZA,active,Durban,2026-01-07T01:46:42Z,no,KAROO,,,
Zanele Bennani,michael.odhiambo.kar8538@vg-eval.test,CT-008538,025720006299,ZA,active,Bloemfontein,2026-04-11T09:27:51Z,0,KAROO,,,
Caroline Tazi,ruth.alaoui.kar9489@vg-eval.test,CT-009489,0706000905,ZA,active,East London,2026-02-04T09:01:08Z,1,KAROO,,,
Sarah Njenga,michael.mokoena.kar9599@vg-eval.test,CT-009599,+254 725 576 358,ZA,active,Bloemfontein,2026-02-12T01:26:48Z,TRUE,KAROO,,,
Kevin Dlamini,yassine.vermeulen.kar282@vg-eval.test,CT-000282,025702464171,ZA,active,Johannesburg,2026-02-12T04:08:08Z,0,KAROO,,,
Paul Achieng,zanele.berrada.kar715@vg-eval.test,CT-000715,+254 712 334 419,ZA,active,East London,2026-04-10T08:51:42Z,no,KAROO,,,
Diana Mutua,peter.wafula.kar3756@vg-eval.test,CT-003756,254-702-329076,ZA,unsubscribed,Gqeberha,2026-02-18T19:39:58Z,true,KAROO,,,
Mercy Barasa,faith.kiptoo.kar10212@vg-eval.test,CT-010212,254-739-347563,ZA,active,East London,2026-01-27T08:36:32Z,f,KAROO,,,
Rose Naidoo,fatima.otieno.kar6781@vg-eval.test,CT-006781,0719193156,ZA,bounced,Gqeberha,2026-03-29T06:52:42Z,Y,KAROO,,,
Zanele Benali,joan.fassi.kar5808@vg-eval.test,CT-005808,254-722-662319,ZA,active,Gqeberha,2026-03-29T14:13:03Z,Y,KAROO,,,
John Tazi,paul.vermeulen.kar1316@vg-eval.test,CT-001316,254-735-273686,ZA,unsubscribed,Cape Town,2026-01-28T15:04:01Z,true,KAROO,,,
Salma Benali,johan.barasa.kar8842@vg-eval.test,CT-008842,025734085262,ZA,active,East London,2026-02-10T20:15:19Z,f,KAROO,,,
Ruth Kamau,amina.alaoui.kil20749@vg-eval.test,CT-008848,254-730-629024,ZA,unsubscribed,Johannesburg,2026-01-26T17:38:34Z,1,KAROO,,,
Johan Vermeulen,mary.barasa.kar9294@vg-eval.test,CT-009294,025708307270,ZA,active,Pretoria,2026-04-12T13:23:29Z,false,KAROO,,,
Paul Zahra,thandi.fassi.kar3508@vg-eval.test,CT-003508,254-736-485480,ZA,active,Polokwane,2026-02-21T07:22:46Z,yes,KAROO,,,
Nancy Odhiambo,sipho.odhiambo.kar2685@vg-eval.test,CT-002685,0701777150,ZA,active,Cape Town,2026-03-24T00:42:15Z,no,KAROO,,,
Kevin Barasa,nancy.naidoo.kar9995@vg-eval.test,CT-009995,+254 733 285 305,ZA,active,Durban,2026-02-16T12:17:08Z,TRUE,KAROO,,,
