external_id,full_name,email,phone,country,city,signup_at,status,consent_marketing,deleted_at,suppressed_until,brand_code,notes
CT-200303,Isaac Cheruiyot,james.otieno.delta2804@vg-eval.test,254-725-294740,KE,Nakuru,2026-08-30T04:33:59Z,active,true,,,KILELE,
CT-070368,Pieter Wanjiru,brian.zahra.delta2170@vg-eval.test,025738257639,KE,Machakos,2026-04-06T10:41:34Z,active,false,,,KILELE,corrected in Sept export
CT-022456,Isaac Tazi,caroline.wafula.delta853@vg-eval.test,+254 721 913 662,KE,Nairobi,2026-03-15T11:42:43Z,active,false,,,KILELE,corrected in Sept export
CT-201610,Mercy Wafula,grace.alaoui.delta4111@vg-eval.test,+254 703 521 915,KE,Nakuru,2026-08-17T18:18:01Z,active,false,,,KILELE,
CT-201400,Grace Mokoena,nomsa.kamau.delta3901@vg-eval.test,0725611533,KE,Nyeri,2026-08-20T16:39:35Z,active,true,,,KILELE,
CT-002984,Fatima Nkosi,kevin.cheruiyot.delta131@vg-eval.test,025730999302,KE,Kisumu,2026-03-03T03:17:50Z,active,false,,,KILELE,corrected in Sept export
CT-072870,Salma Odhiambo,karim.benali.delta1749@vg-eval.test,0724640736,KE,Machakos,2026-02-08T00:46:49Z,active,false,,,KILELE,corrected in Sept export
CT-076449,Rose Zahra,simon.tazi.delta1636@vg-eval.test,025708343154,KE,Thika,2026-02-26T21:28:36Z,active,true,,,KILELE,corrected in Sept export
CT-200413,Rose Kamau,grace.benali.delta2914@vg-eval.test,025720127231,KE,Mombasa,2026-08-04T02:00:04Z,active,true,,,KILELE,
CT-074105,Faith Odhiambo,diana.naidoo.delta238@vg-eval.test,254-709-392834,KE,Nairobi,2026-03-01T12:36:11Z,active,true,,,KILELE,corrected in Sept export
CT-078804,Michael Haddad,karim.naidoo.delta2231@vg-eval.test,254-712-766360,KE,Nakuru,2026-03-04T11:53:14Z,active,false,,,KILELE,corrected in Sept export
CT-200873,Caroline Mwangi,mercy.alaoui.delta3374@vg-eval.test,025705157676,KE,Nairobi,2026-08-26T04:03:06Z,active,false,,,KILELE,
CT-065665,James Mokoena,nancy.berrada.delta1010@vg-eval.test,025716972914,KE,Nakuru,2026-01-27T14:08:20Z,active,true,,,KILELE,corrected in Sept export
CT-045546,Dennis Otieno,george.njoroge.delta851@vg-eval.test,254-734-005091,KE,Kisumu,2026-01-16T14:18:23Z,active,true,,,KILELE,corrected in Sept export
CT-072588,Kevin Benali,yassine.njoroge.delta266@vg-eval.test,025708257963,KE,Kisumu,2026-03-10T09:30:40Z,active,true,,,KILELE,corrected in Sept export
CT-007405,George Mutua,grace.wanjiru.delta1713@vg-eval.test,025728350311,KE,Thika,2026-03-21T22:03:18Z,active,true,,,KILELE,corrected in Sept export
CT-201338,Rose Kamau,thandi.pretorius.delta3839@vg-eval.test,+254 700 466 261,KE,Malindi,2026-08-24T19:26:32Z,active,true,,,KILELE,
CT-034606,Sipho Alaoui,yassine.benali.delta1783@vg-eval.test,025701617027,KE,Malindi,2026-03-02T11:28:27Z,active,true,,,KILELE,corrected in Sept export
CT-200295,Grace Pretorius,faith.cheruiyot.delta2796@vg-eval.test,254-708-369450,KE,Nairobi,2026-08-27T05:42:59Z,active,false,,,KILELE,
CT-200378,David Alaoui,caroline.wafula.delta2879@vg-eval.test,+254 711 569 261,KE,Eldoret,2026-08-08T04:22:48Z,active,true,,,KILELE,
CT-021457,Pieter Alaoui,joan.mutua.delta101@vg-eval.test,025721484027,KE,Malindi,2026-03-11T18:24:26Z,active,false,,,KILELE,corrected in Sept export
CT-200479,Mercy Fassi,joan.dlamini.delta2980@vg-eval.test,254-729-027415,KE,Nyeri,2026-08-07T01:18:07Z,active,true,,,KILELE,
CT-013207,Sipho Nkosi,daniel.vermeulen.delta493@vg-eval.test,+254 721 618 859,KE,Thika,2026-01-10T03:01:50Z,active,true,,,KILELE,corrected in Sept export
CT-041807,Joan Berrada,omar.cheruiyot.delta1273@vg-eval.test,+254 711 627 124,KE,Eldoret,2026-03-28T18:42:41Z,active,true,,,KILELE,corrected in Sept export
CT-013869,Ann Nkosi,mary.mutua.delta346@vg-eval.test,254-719-288810,KE,Kisumu,2026-04-11T15:52:34Z,active,true,,,KILELE,corrected in Sept export
CT-201079,Paul Pretorius,pieter.kiptoo.delta3580@vg-eval.test,254-709-761923,KE,Machakos,2026-08-28T19:33:26Z,active,false,,,KILELE,
CT-201372,Ann Njoroge,alice.dlamini.delta3873@vg-eval.test,0706853598,KE,Nairobi,2026-08-08T00:26:44Z,active,true,,,KILELE,
CT-069648,Victor Elidrissi,sipho.naidoo.delta67@vg-eval.test,+254 707 103 247,KE,Machakos,2026-01-19T01:21:14Z,active,false,,,KILELE,corrected in Sept export
CT-022544,Lucy Cheruiyot,dennis.dlamini.delta666@vg-eval.test,254-706-628968,KE,Kericho,2026-01-26T00:49:50Z,active,true,,,KILELE,corrected in Sept export
CT-200728,David Kiptoo,daniel.elidrissi.delta3229@vg-eval.test,0700920626,KE,Nakuru,2026-08-08T05:13:42Z,active,false,,,KILELE,
CT-020255,Lerato Haddad,isaac.kamau.delta989@vg-eval.test,025706630212,KE,Malindi,2026-02-25T16:22:44Z,active,false,,,KILELE,corrected in Sept export
CT-201109,Alice Kimani,grace.kiptoo.delta3610@vg-eval.test,025714431938,KE,Nairobi,2026-08-19T00:02:54Z,active,false,,,KILELE,
