external_id,full_name,email,phone,country,city,signup_at,status,consent_marketing,deleted_at,suppressed_until,brand_code,notes
CT-019865,Simon Kamau,sarah.wanjiru.kil19116@vg-eval.test,0704279001,none,Nakuru,2026-02-19T23:47:04Z,bounced,true,,,KILELE,acquired via web signup
CT-037309,James Berrada,zanele.barasa.kil35852@vg-eval.test,0715023582,SS,Nakuru,2026-02-13T09:41:42Z,active,yes,,,KILELE,app install cohort Q1
CT-037610,Rose Wafula,pieter.naidoo.kil36137@vg-eval.test,025710676604,KE,Nyeri,2026-03-10T01:54:04Z,unsubscribed,f,,,KILELE,
CT-017341,Ruth Mutua,esther.kamau.kil16690@vg-eval.test,0725523408,KE,Machakos,2026-01-02T13:09:33Z,unsubscribed,TRUE,,,KILELE,acquired via web signup
CT-041441,Victor Kamau,isaac.pretorius.kil39806@vg-eval.test,0717085067,KE,Nyeri,2026-02-05T17:06:08Z,active,true,,,KILELE,acquired via web signup
CT-077150,James Mutua,esther.vermeulen.kil74052@vg-eval.test,025738670030,TZ,Mombasa,2026-04-03,active,Y,,,KILELE,referral programme member
CT-005179,Omar Achieng,john.tazi.kil4971@vg-eval.test,+254 719 856 804,KE,Kericho,2026-02-09T00:33:05Z,active,FALSE,,,KILELE,opted in at checkout
CT-019750,Mercy Okoth,thandi.elidrissi.kil19006@vg-eval.test,025715691384,KE,Nakuru,2026-03-12T08:13:26Z,active,true,,,KILELE,app install cohort Q1
CT-058702,Lerato Haddad,john doe@vg-eval.test,025718955814,KE,Nairobi,2026-04-15T16:52:21Z,unsubscribed,f,,,KILELE,
CT-048474,Johan Kiptoo,david.kiptoo.kil46573@vg-eval.test,025711541400,TZ,Nyeri,2026-02-04T00:14:40Z,active,,,,KILELE,acquired via web signup
CT-064423,Joan Nkosi,mary.kiptoo.kil61860@vg-eval.test,+254 734 286 380,KE,Eldoret,2026-02-03T05:10:19Z,active,true,,,KILELE,
CT-071526,Yassine Nkosi,omar.mutua.kil68678@vg-eval.test,025720732194,KE,Malindi,2026-02-10T23:00:27Z,active,1,,,KILELE,
CT-068007,Fatima Kamau,alice.bennani.kil65304@vg-eval.test,+254 701 821 961,KE,Nairobi,2026-04-07T17:04:55Z,active,,,,KILELE,
CT-045541,Johan Berrada,peter.kamau.kil43761@vg-eval.test,0730644919,NULL,Machakos,2026-03-06T11:52:02Z,active,yes,,,KILELE,loyalty tier: silver
CT-007256,Sarah Nkosi,dennis.dlamini.kil6977@vg-eval.test,254-728-646197,KE,Kericho,2026-04-05T13:57:49Z,pending,,,,KILELE,referral programme member
CT-021873,Isaac Njenga,nomsa.njoroge.kil21046@vg-eval.test,0717370785,SS,Malindi,2026-03-22T19:17:23Z,active,Y,,,KILELE,
CT-002036,Sarah Benali,pieter.kamau.kil1953@vg-eval.test,254-713-626210,\N,Nakuru,2026-03-04T10:05:55Z,bounced,0,,,KILELE,imported from legacy CRM 2025
CT-069255,Caroline Kamau,karim.mokoena.kil66498@vg-eval.test,+254 730 374 987,KE,Mombasa,2026-02-10T04:43:48Z,active,yes,,,KILELE,referral programme member
CT-069816,Fatima Kamau,ruth.barasa.kil67040@vg-eval.test,254-738-876502,KE,Nyeri,2026-03-19T19:50:10Z,active,yes,,,KILELE,
CT-001548,Zanele Okoth,ann.nkosi.kil1490@vg-eval.test,254-700-640269,KE,Kisumu,2026-01-23T14:53:45Z,active,yes,,,KILELE,
CT-079228,Thandi Tazi,samuel.kimani.kil76057@vg-eval.test,254-701-613822,KEN,Nakuru,2026-04-19T22:56:03Z,active,yes,,,KILELE,loyalty tier: silver
CT-028330,Ann Odhiambo,brian.otieno.kil27256@vg-eval.test,025700865105,UG,Malindi,2026-04-01T02:47:08Z,active,1,,,KILELE,imported from legacy CRM 2025
CT-014103,Lucy Elidrissi,pieter.okoth.kil13572@vg-eval.test,+254 710 320 085,KE,Nakuru,2026-04-14T15:55:56Z,active,Y,,,KILELE,opted in at checkout
CT-056416,James Otieno,nomsa.wanjiru.kil54177@vg-eval.test,254-705-364293,TZ,Nairobi,2026-01-25T04:28:51Z,active,true,,,KILELE,app install cohort Q1
CT-009938,Thandi Nkosi,omar.achieng.kil9553@vg-eval.test,025737093326,UG,Malindi,2026-04-11T06:37:35Z,active,TRUE,,,KILELE,referral programme member
CT-076029,Paul Tazi,caroline.elidrissi.kil72987@vg-eval.test,0704119527,KE,Eldoret,2026-01-20T01:24:04Z,unsubscribed,true,,,KILELE,loyalty tier: silver
CT-029126,Kevin Benali,mercy.fassi.kil28020@vg-eval.test,025732430344,KE,Machakos,2026-04-09T19:29:28Z,unsubscribed,false,,,KILELE,acquired via web signup
CT-044438,Nancy Cheruiyot,victor.mutua.kil42699@vg-eval.test,,KE,Nyeri,2026-03-21T10:30:18Z,active,Y,,,KILELE,acquired via web signup
CT-072845,Samuel Berrada,george.haddad.kil69945@vg-eval.test,0708754175,KE,Thika,2026-03-08T09:52:34Z,active,TRUE,,,KILELE,
CT-020135,Sarah Mokoena,michael.kiptoo.kil19376@vg-eval.test,+254 708 052 499,KE,Nairobi,2026-03-23T09:30:41Z,active,1,,,KILELE,app install cohort Q1
CT-076577,Layla Alaoui,george.naidoo.kil73510@vg-eval.test,0728087598,KE,Machakos,2026-04-15T00:56:18Z,active,Y,,,KILELE,referral programme member
CT-043355,Simon Barasa,omar.mwangi.kil41653@vg-eval.test,+254 701 222 005,KE,Thika,2026-04-16T08:25:02Z,active,,,,KILELE,opted in at checkout
CT-017033,Johan Fassi,layla.dlamini.kil16390@vg-eval.test,0731153228,KE,Eldoret,2026-04-08T20:06:57Z,active,true,2026-03-14T15:06:23Z,,KILELE,acquired via web signup
CT-066495,Johan Wanjiru,omar.elidrissi.kil63847@vg-eval.test,+254 713 122 259,KE,Nairobi,2026-03-09T13:32:01Z,active,true,,,KILELE,
CT-054848,Paul Wanjiru,david.kamau.kil52672@vg-eval.test,254-704-007571,TZ,Kisumu,2026-01-29T14:01:53Z,active,Y,,,KILELE,
CT-023849,Michael Tazi,john.njoroge.kil22943@vg-eval.test,0703695096,KE,Malindi,2026-04-10T17:14:22Z,active,1,,,KILELE,referral programme member
CT-079721,Dennis Njenga,lucy.wanjiru.kil76530@vg-eval.test,0737959476,KE,Nyeri,2026-04-19T22:38:48Z,active,true,,,KILELE,
CT-079095,Ann Wanjiru,samuel.odhiambo.kil75930@vg-eval.test,+254 738 152 378,KE,Kisumu,2026-01-16,active,TRUE,,,KILELE,loyalty tier: silver
CT-045452,Grace Pretorius,salma.nkosi.kil43674@vg-eval.test,254-710-444776,KE,Kisumu,2026-03-27T07:26:54Z,active,false,,,KILELE,
CT-059586,Michael Mokoena,paul.otieno.kil57212@vg-eval.test,025715799058,KE,Nyeri,2026-01-09T08:07:54Z,active,FALSE,,,KILELE,
CT-020992,Dennis Vermeulen,yassine.vermeulen.kil20205@vg-eval.test,254-706-064487,KE,Nyeri,2026-01-29T19:08:19Z,ACTIVE,TRUE,,,KILELE,loyalty tier: silver
CT-032502,Samuel Odhiambo,ann.haddad.kil31241@vg-eval.test,025706088116,ke ,Nyeri,2026-04-20T08:07:10Z,active,false,,,KILELE,
CT-062607,Dennis Berrada,sarah.vermeulen.kil60129@vg-eval.test,+254 735 336 986,KE,Kericho,2026-01-28T22:59:45Z,active,yes,,,KILELE,
CT-024504,Nancy Achieng,kevin.otieno.kil23574@vg-eval.test,254-710-883796,KE,Kericho,2026-03-11T16:10:02Z,active,true,,,KILELE,
CT-025451,David Zahra,ann.tazi.kil24487@vg-eval.test,+254 706 107 532,KE,Nyeri,2026-01-02T00:49:22Z,active,TRUE,,,KILELE,opted in at checkout
CT-002288,Faith Bennani,lucy.elidrissi.kil2196@vg-eval.test,254-729-514619,KE,Nyeri,2026-04-19T23:39:09Z,active,Y,,,KILELE,
CT-005763,George Benali,rachid.kamau.kil5537@vg-eval.test,+254 702 147 064,UG,Kericho,2026-02-25T11:23:38Z,active,1,,,KILELE,app install cohort Q1
CT-028882,Grace Dlamini,sarah.mokoena.kil27789@vg-eval.test,025721782145,UG,Malindi,2026-01-19T06:22:24Z,active,1,,,KILELE,
CT-008277,Dennis Achieng,yassine.wanjiru.kil7953@vg-eval.test,0737679715,KE,Malindi,2026-03-31T14:22:01Z,active,false,,,KILELE,imported from legacy CRM 2025
CT-049187,Diana Naidoo,brian.mokoena.kil47262@vg-eval.test,+254 710 380 672,KEN,Kericho,2026-01-18T10:27:41Z,active,false,,,KILELE,acquired via web signup
CT-015060,James Fassi,karim.wanjiru.kil14496@vg-eval.test,254-710-561925,KE,Nyeri,2026-02-18T08:07:06Z,active,true,,,KILELE,
CT-003074,Lucy Fassi,rachid.njenga.kil2953@vg-eval.test,025722665576,KE,Kisumu,2026-04-04T21:50:41Z,unsubscribed,,,,KILELE,app install cohort Q1
CT-072287,Joan Mokoena,james.njenga.kil69412@vg-eval.test,+254 700 806 812,KE,Malindi,2026-01-29T18:52:02Z,unsubscribed,false,,,KILELE,
CT-036627,Paul Vermeulen,lerato.cheruiyot.kil35197@vg-eval.test,+254 716 612 327,KE,Machakos,2026-02-13T12:31:21Z,active,,,,KILELE,loyalty tier: silver
CT-061890,Mercy Fassi,caroline.pretorius.kil59435@vg-eval.test,025721420530,UG,Kisumu,2026-04-17T07:28:27Z,active,yes,,,KILELE,
CT-017593,Lucy Tazi,nancy.njoroge.kil16935@vg-eval.test,0707331493,KE,Machakos,2026-01-11T17:21:13Z,active,false,,,KILELE,opted in at checkout
CT-033138,Nomsa Mokoena,rachid.vermeulen.kil31849@vg-eval.test,025715494083,KE,Thika,2026-03-08,active,yes,,,KILELE,
CT-021914,Sipho Njoroge,layla.alaoui.kil21086@vg-eval.test,025735966978,KE,Thika,2026-03-08T08:57:00Z,unsubscribed,Y,,,KILELE,
CT-064883,Caroline Odhiambo,james.berrada.kil62302@vg-eval.test,+254 724 132 621,KE,Malindi,2026-04-06T14:39:50Z,active,0,,,KILELE,
CT-018380,Dennis Tazi,brian.alaoui.kil17694@vg-eval.test,254-705-926169,KE,Nairobi,2026-01-28T17:17:13Z,pending,f,,,KILELE,
CT-047777,Diana Kamau,victor.pretorius.kil45906@vg-eval.test,0702509424,KE,Nyeri,2026-03-09T14:53:07Z,active,TRUE,,,KILELE,
CT-079928,Esther Haddad,david.wafula.kil76728@vg-eval.test,254-735-858717,SS,Machakos,2026-02-02T07:10:39Z,active,Y,,,KILELE,app install cohort Q1
CT-033609,Rose Zahra,alice.naidoo.kil32305@vg-eval.test,0716320849,ET,Eldoret,2026-03-14,active,true,,,KILELE,loyalty tier: silver
CT-060407,Joan Alaoui,grace.elidrissi.kil57996@vg-eval.test,+254 737 122 744,RW,Kericho,2026-03-30T07:33:45Z,active,Y,,,KILELE,referral programme member
CT-076515,Fatima Barasa,pieter.okoth.kil73449@vg-eval.test,+254 724 419 510,KE,Thika,2026-04-20T12:46:02Z,active,TRUE,,,KILELE,acquired via web signup
