external_id;full_name;e_mail;mobile;pays;city;signup_at;status;consent_marketing;deleted_at;suppressed_until;brand_code;notes
CT-000484;Layla Bennani;rose.mwangi.mar484@vg-eval.test;+212 653959127;MA;Tanger;2026-03-17T18:22:17Z;active;TRUE;;;MARRAKECH;
CT-000280;Layla Bennani;thandi.achieng.mar280@vg-eval.test;+212 664326950;MA;Agadir;2026-01-23T09:07:44Z;active;false;;;MARRAKECH;
CT-000362;Rachid Zahra;lucy.elidrissi.mar362@vg-eval.test;+212 646615491;MA;Casablanca;2026-01-12T21:00:51Z;active;false;;;MARRAKECH;
CT-000050;Salma Haddad;joan.okoth.kil45505@vg-eval.test;+212 684737121;MA;Casablanca;2026-03-09T10:14:06Z;active;Y;;;MARRAKECH;
CT-000219;Youssef Benali;ann.otieno.mar219@vg-eval.test;+212 673434563;MA;Oujda;2026-03-23T21:50:05Z;active;no;;;MARRAKECH;
CT-000669;Youssef Zahra;lucy.kamau.mar669@vg-eval.test;+212 687946451;MA;Rabat;2026-03-28T15:40:51Z;active;f;;;MARRAKECH;
CT-000691;Fatima Benali;john.fassi.mar691@vg-eval.test;+212 680873363;MA;Tanger;2026-02-26T23:39:19Z;active;1;;;MARRAKECH;
CT-000224;Youssef Benali;diana.okoth.mar224@vg-eval.test;+212 690996620;MA;Rabat;2026-03-13T07:22:11Z;active;Y;;;MARRAKECH;
CT-000225;Omar Tazi;layla.barasa.kil36326@vg-eval.test;+212 690750187;MA;Casablanca;2026-03-05T06:37:31Z;active;1;;;MARRAKECH;
CT-000581;Youssef Zahra;rose.wafula.mar581@vg-eval.test;+212 654255388;MA;Casablanca;2026-04-03T11:24:20Z;active;no;;;MARRAKECH;
CT-000512;Youssef Haddad;amina.benali.mar512@vg-eval.test;+212 691914881;MA;Meknes;2026-01-25T15:22:16Z;active;1;;;MARRAKECH;
CT-000148;Layla Bennani;ann.nkosi.mar148@vg-eval.test;+212 661191697;MA;Tanger;2026-01-01T21:52:14Z;active;no;;;MARRAKECH;
CT-000446;Rachid Haddad;lerato.cheruiyot.mar446@vg-eval.test;+212 694074267;MA;Casablanca;2026-01-03T23:44:14Z;active;1;;;MARRAKECH;
CT-000371;Fatima Haddad;simon.wanjiru.mar371@vg-eval.test;+212 616903801;MA;Oujda;2026-02-15T14:48:28Z;active;f;;;MARRAKECH;
CT-000571;Youssef Elidrissi;ann.cheruiyot.mar571@vg-eval.test;+212 654453479;MA;Agadir;2026-02-16T12:21:51Z;active;f;;;MARRAKECH;
CT-000442;Fatima Benali;esther.bennani.mar442@vg-eval.test;+212 664316559;MA;Oujda;2026-01-01T11:40:31Z;active;0;;;MARRAKECH;
CT-000754;Rachid Haddad;joan.njoroge.mar754@vg-eval.test;+212 619333935;MA;Tanger;2026-02-14T17:39:27Z;active;TRUE;;;MARRAKECH;
CT-000871;Rachid Haddad;amina.wafula.mar871@vg-eval.test;+212 697981154;MA;Oujda;2026-04-16T05:37:23Z;active;false;;;MARRAKECH;
